     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2048,       226,         0,   0.015,pymatching,1c61726f4ad9c12650c3ca2cb2e1a87865263a79a366a04fb9c2e0489b9d4e22,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,        32,         0,   0.131,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
      6144,       314,         0,   0.031,pymatching,eff6f84e6085b3c3981aaa4f746c518b66c0a2cf0c456f9a00d918fa18cd12f4,"{""d"":5,""p"":0.008,""rounds"":5}",
      3072,       414,         0,   0.024,pymatching,1c61726f4ad9c12650c3ca2cb2e1a87865263a79a366a04fb9c2e0489b9d4e22,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,        64,         0,   0.162,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      7168,       358,         0,   0.032,pymatching,eff6f84e6085b3c3981aaa4f746c518b66c0a2cf0c456f9a00d918fa18cd12f4,"{""d"":5,""p"":0.008,""rounds"":5}",
     15360,       185,         0,   0.295,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
     48128,       373,         0,   0.129,pymatching,78ebf96665eb7355106d8270c09c9d899eaa36f13bf5636be2ce1a88745c4f37,"{""d"":5,""p"":0.004,""rounds"":5}",
      1024,        27,         0,   0.081,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
      2048,        24,         0,   0.105,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
      2321,       414,         0,   0.021,pymatching,53b5f0efb8887d1c8f1e3fdfda43f4f7042079d05009098a07c56a00fc0c5e18,"{""d"":5,""p"":0.014,""rounds"":5}",
      1297,         5,         0,   0.012,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      2048,       359,         0,   0.016,pymatching,53b5f0efb8887d1c8f1e3fdfda43f4f7042079d05009098a07c56a00fc0c5e18,"{""d"":5,""p"":0.014,""rounds"":5}",
      1024,        84,         0,   0.159,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
      3072,        16,         0,   0.019,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      2048,       354,         0,   0.024,pymatching,53b5f0efb8887d1c8f1e3fdfda43f4f7042079d05009098a07c56a00fc0c5e18,"{""d"":5,""p"":0.014,""rounds"":5}",
      1024,        32,         0,   0.119,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      3072,        13,         0,   0.021,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
       273,        33,         0,   0.066,fusion_blossom,92c46607b3fb09a418264f46cff2e36b2e91a14de9e5717d2e61af13a8535335,"{""d"":5,""p"":0.014,""rounds"":5}",
       273,        39,         0,   0.066,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,        19,         0,   0.086,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
      4096,        18,         0,   0.036,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      2048,        16,         0,   0.105,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
        17,         0,         0,   0.012,fusion_blossom,47e91f1dfbf6adbb3c46efd5d2de6f4c42a3dcf206f4703dce03013c9b309afd,"{""d"":7,""p"":0.004,""rounds"":7}",
      5120,        19,         0,   0.045,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      1024,        20,         0,   0.076,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
